@relation Unknown

@attribute LVFAILURE {TRUE,FALSE}
@attribute HISTORY {TRUE,FALSE}
@attribute HYPOVOLEMIA {TRUE,FALSE}
@attribute LVEDVOLUME {LOW,NORMAL,HIGH}
@attribute CVP {LOW,NORMAL,HIGH}
@attribute PCWP {LOW,NORMAL,HIGH}
@attribute STROKEVOLUME {LOW,NORMAL,HIGH}
@attribute ERRLOWOUTPUT {TRUE,FALSE}
@attribute INTUBATION {NORMAL,ESOPHAGEAL,ONESIDED}
@attribute KINKEDTUBE {TRUE,FALSE}
@attribute DISCONNECT {TRUE,FALSE}
@attribute MINVOLSET {LOW,NORMAL,HIGH}
@attribute VENTMACH {ZERO,LOW,NORMAL,HIGH}
@attribute VENTTUBE {ZERO,LOW,NORMAL,HIGH}
@attribute VENTLUNG {ZERO,LOW,NORMAL,HIGH}
@attribute VENTALV {ZERO,LOW,NORMAL,HIGH}
@attribute ARTCO2 {LOW,NORMAL,HIGH}
@attribute INSUFFANESTH {TRUE,FALSE}
@attribute FIO2 {LOW,NORMAL}
@attribute PVSAT {LOW,NORMAL,HIGH}
@attribute PULMEMBOLUS {TRUE,FALSE}
@attribute SHUNT {NORMAL,HIGH}
@attribute SAO2 {LOW,NORMAL,HIGH}
@attribute ANAPHYLAXIS {TRUE,FALSE}
@attribute TPR {LOW,NORMAL,HIGH}
@attribute CATECHOL {NORMAL,HIGH}
@attribute HR {LOW,NORMAL,HIGH}
@attribute HRBP {LOW,NORMAL,HIGH}
@attribute ERRCAUTER {TRUE,FALSE}
@attribute HREKG {LOW,NORMAL,HIGH}
@attribute HRSAT {LOW,NORMAL,HIGH}
@attribute EXPCO2 {ZERO,LOW,NORMAL,HIGH}
@attribute MINVOL {ZERO,LOW,NORMAL,HIGH}
@attribute PAP {LOW,NORMAL,HIGH}
@attribute PRESS {ZERO,LOW,NORMAL,HIGH}
@attribute CO {LOW,NORMAL,HIGH}
@attribute BP {LOW,NORMAL,HIGH}

@data
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,TRUE,NORMAL,NORMAL,ZERO,LOW,HIGH,LOW,TRUE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,TRUE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,LOW,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,LOW,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,LOW,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,ZERO,ZERO,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,ESOPHAGEAL,FALSE,FALSE,NORMAL,NORMAL,LOW,LOW,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,NORMAL,ZERO,NORMAL,LOW,NORMAL,NORMAL
FALSE,FALSE,FALSE,LOW,LOW,LOW,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH
FALSE,FALSE,FALSE,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,TRUE,NORMAL,NORMAL,LOW,ZERO,NORMAL,HIGH,LOW,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,ZERO,ZERO,LOW,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,HIGH,HIGH,NORMAL,HIGH,NORMAL,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,NORMAL,LOW,FALSE,LOW,LOW,LOW,ZERO,NORMAL,HIGH,LOW,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,HIGH,NORMAL,NORMAL,HIGH,NORMAL
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,NORMAL,LOW
FALSE,FALSE,FALSE,NORMAL,LOW,NORMAL,NORMAL,TRUE,ESOPHAGEAL,FALSE,FALSE,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,FALSE,LOW,NORMAL,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,LOW,LOW,ZERO,ZERO,ZERO,HIGH,TRUE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,NORMAL,NORMAL,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,TRUE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH
FALSE,FALSE,TRUE,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,FALSE,TRUE,NORMAL,NORMAL,ZERO,LOW,HIGH,LOW,TRUE,NORMAL,HIGH,FALSE,NORMAL,HIGH,TRUE,LOW,HIGH,HIGH,HIGH,TRUE,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,NORMAL,LOW,FALSE,LOW,LOW,LOW,ZERO,NORMAL,LOW,NORMAL,NORMAL
FALSE,FALSE,TRUE,HIGH,HIGH,HIGH,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,LOW,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,HIGH
FALSE,FALSE,FALSE,HIGH,HIGH,HIGH,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW
FALSE,FALSE,TRUE,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH
TRUE,TRUE,FALSE,LOW,NORMAL,LOW,LOW,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,NORMAL,LOW,LOW
FALSE,FALSE,FALSE,NORMAL,LOW,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,HIGH,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,NORMAL,NORMAL,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,LOW,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH
FALSE,FALSE,TRUE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,NORMAL,LOW,FALSE,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,NORMAL,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,TRUE,NORMAL,NORMAL,LOW,ZERO,NORMAL,LOW,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,ESOPHAGEAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,LOW,HIGH,TRUE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,HIGH
FALSE,FALSE,FALSE,HIGH,HIGH,HIGH,NORMAL,TRUE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,FALSE,HIGH,HIGH,LOW,ZERO,LOW,HIGH,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,LOW,NORMAL,NORMAL,FALSE,NORMAL,FALSE,TRUE,NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW
FALSE,FALSE,FALSE,HIGH,HIGH,HIGH,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,HIGH,NORMAL,LOW,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,NORMAL,LOW,FALSE,LOW,LOW,LOW,ZERO,NORMAL,LOW,NORMAL,NORMAL
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,TRUE,NORMAL,ZERO,ZERO,LOW,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL,NORMAL
FALSE,FALSE,FALSE,HIGH,HIGH,HIGH,NORMAL,FALSE,NORMAL,FALSE,TRUE,NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH,TRUE,NORMAL,LOW,FALSE,NORMAL,LOW,TRUE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH
FALSE,FALSE,FALSE,LOW,LOW,LOW,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,NORMAL,LOW,FALSE,LOW,LOW,ZERO,ZERO,NORMAL,HIGH,NORMAL,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,ESOPHAGEAL,FALSE,FALSE,NORMAL,NORMAL,LOW,LOW,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,ONESIDED,FALSE,FALSE,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,FALSE,NORMAL,LOW,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,TRUE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,ESOPHAGEAL,FALSE,TRUE,NORMAL,NORMAL,ZERO,ZERO,LOW,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,LOW,HIGH,HIGH,NORMAL,FALSE,HIGH,HIGH,LOW,LOW,NORMAL,ZERO,HIGH,LOW
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,HIGH
FALSE,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,ZERO,HIGH,FALSE,NORMAL,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,HIGH,TRUE,NORMAL,LOW,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL
